用户,评论内容,点赞数,评论时间,观点分类
那威尼不勒斯,超哥切割地真是超快,0,2025-10-16 12:50:09,中立
届不到的天使,超哥这次怕不是[喜极而泣]，断章取义把只有su7有的缺陷扩大成整个新能源问题[喜极而泣] 隔壁区胖2分钟就把事故图片、事故原因、su7yu7车门对比、未来展望说清楚了。 https://b23.tv/BV1kQ4tzvEJj,0,2025-10-18 08:30:57,支持
荏苒灬曦雨,肯定是人有问题，车有问题。,0,2025-10-15 20:14:21,支持
TDBaker,户晨风的含金量还在增加,1,2025-10-16 23:53:22,支持
机械基因灵能飞升,小米汽车自燃，门打不开[tv_生病][tv_生病],0,2025-11-08 20:28:09,反对
大熊山的大熊,每次看到up，都不可避免的想到土木牛马-“大猛子”[doge],0,2025-11-10 00:35:44,支持
bili_1811942,03:29 敢问资深汽车人，你说这一批新能源汽车，PO的9车图，你是否调研过人家没有机械结构？？？,0,2025-10-21 21:56:23,支持
一9527一零,特斯拉都哭了 还好来了个小米 军儿救我[大哭],5,2025-10-15 20:33:42,支持
dddfff3345,终极答案：买个得儿🥴,0,2025-10-15 20:50:52,中立
小菜哗,老是想弯道超车，翻车就有份[doge],0,2025-10-16 09:52:02,中立
不在亏欠再也不见,现在不都有电池弹射了 搞一个大门弹射 不用电用气一下子顶开[呲牙][呲牙][呲牙],1,2025-10-16 10:18:01,反对
向我的水人低头,关我大众什么事，毕竟大众历史比这里都多11年,0,2025-10-17 01:45:52,中立
px3346,现在回头看那些老古董手动挡真tm安全，配置简陋的一批，全车几乎都是纯机械结构,55,2025-10-15 20:18:54,反对
猪头猪脑壳子弹,人家卖车的根本管都不管，还在测试车子性能呢[笑哭],0,2025-10-16 22:20:26,支持
十雨虹云,怎么咋咋呼呼的,0,2025-10-18 04:41:39,支持
沉默的驴1,都烧死了还能查出来酒驾啊,0,2025-10-17 23:40:59,反对
An的奇幻世界,还有个问题，是怎样的前提，外部人只要一按把手的按钮就能开门？是要内部的人先解锁才能开，还是不需要解锁就能开。要是不需要解锁就能开，那遇到歹徒抢劫怎么办？假如需要内部人解锁，那看了几个视频是有说里面的人醉驾，但是大家都没有说是否已解锁，但是就是打不开，那这个才是车的问题。如果没解锁，那打不开，那也不关车的问题。我只是好奇而已。像油车，无论内外部要打开车门，一定要先解锁，这个是否已解锁是关键。,0,2025-10-24 12:36:16,支持
鹏多多,速度是一种信仰。车颜值才是王道。机械风味门把手。 [辣眼睛]回旋镖还在继续～,1,2025-10-16 12:51:43,反对
薄雾zy,说事就说事，这手舞足蹈的是干嘛,0,2025-10-16 18:27:02,支持
你猜我猜你不猜我猜到,最简单的结构最可靠，越复杂越容易故障,0,2025-10-29 05:11:22,支持
我才不叫威震天,小米不是为发烧而生吗，建议小米弄个装置速度低于160就会爆燃[呲牙],0,2025-10-17 15:51:26,支持
蔚蓝星白夜,正义从不缺席，事故原因一定会及时公开。特别重大事故(30人以上sw)自事故发生日起60日内提交调查报告。,1,2025-10-16 16:29:03,支持
杨小鱼儿丶,觉得门把手纯电动没问题的，如果一辆电车刹车是纯电动的你敢开吗？,0,2025-10-17 18:04:14,支持
熊萝卜,超哥就是个自媒体不是官方，人小米那么大公司法务部一堆人，不知道就说不知道，不知道一堆人阴谋论什么,0,2025-10-16 14:09:54,反对
我的初恋a,无所谓了，开这么快迟早出事，还好没害到别人。,0,2025-10-16 03:42:49,反对
leeeeeeeeee,"可以看看大嘴M8发布时候提的车门安全问题, 当时没人关注这些",1,2025-10-17 19:59:15,支持
Mercury弑仙疤,Aeb呢，倒置泄压呢，车门安全冗余呢？[doge_金箍]做汽车跟做雅迪一个思路还真有人买啊,0,2025-10-17 16:48:07,反对
阿尹_-,路走的太快了，需要停下来沉淀休息在出发,0,2025-10-22 00:31:49,支持
大绿豆666,翔翔的价值又体现出来了,1,2025-10-16 08:04:29,支持
鮁魚水餃,多么讽刺,0,2025-10-17 19:20:42,中立
雨邪邪,问下一般车开起来，就锁定车门了，外面是打不开的。万一撞了，会自动解锁吗？,0,2025-10-28 23:16:37,支持
7345942165,有的[脸红],0,2025-10-26 08:39:18,支持
东爱璃的后背君,并非所有的隐藏式门把手都是电动的，有的比如小鹏是物理的，和跷跷板一样，压下这头那头就翘起来了，然后直接一拉（机械的）就打开了。而且蒙迪欧之前坠崖的弹出式门把手也能正常打开,3,2025-10-15 21:06:14,支持
橙子灰机,正常个p 新国标至少2小时不允许燃烧吧,0,2025-10-17 18:52:52,反对
丿于嫒如丨,我觉得电车直接限制最高速度60km/h就好了,0,2025-11-04 23:08:33,支持
sully_T,电池撞击大概率是会起火,0,2025-10-27 23:20:30,反对
go露天冲凉,涉嫌酒后驾车。。。。所以帮忙省了审判，直接给人判了火刑是吧,0,2025-10-15 22:00:43,中立
糟糕小能手,这个撞击会不会导致门框变形打不开，就不管油车电车，撞击后会不会都有这个可能啊(勿喷，我没车就单纯问问[思考]),1,2025-10-17 01:10:03,支持
奥德彪的蕉响曲,为啥没有紧急刹停[呲牙],0,2025-10-16 22:25:18,中立
我为她面向太阳,我就不信一个人没有任何安全保障时在车里以200km/h冲向栅栏能活下来，MD，一群人咋咋呼呼的我就问：200km/h！这tm在车辆测试要的吗？,0,2025-10-16 18:01:09,支持
哟呵呵呵盒,好吵,0,2025-10-16 08:43:07,支持
Sherk_hong,省了火化费[墨镜],0,2025-10-17 08:46:02,反对
快拔掉网线,人死得好。一方面是自己不珍惜生命还威胁公共安全，该死（死的太好了，就该死）。另一个角度是死了引发热点，让大家重视酒驾和电车的一些关注，死的有价值。,0,2025-10-24 18:54:27,支持
龟龟____,那啥车没出过事故呢？[笑哭]纯粹好奇，,7,2025-10-17 20:27:37,支持
野生柠檬啊-,一会咋咋呼呼一会低音麦听着好难受。,0,2025-10-16 05:48:07,支持
七月의懒猫,甲亢式说车,0,2025-10-15 21:48:24,支持
极品小绅士,可是不管是什么车，他妈的酒驾加超速160，横竖不都是个死。这种情况下发生的碰撞，即使是机械结构，有几个车企敢保证说我一定能把车门打开，机械结构的车门打不开，网上视频也是比比皆是啊。明明是人的问题呀。,0,2025-10-18 01:34:17,支持
简单E丶,像我这个关注列表我是不敢说小米什么的，反正是小米好车[支持],1,2025-10-16 08:52:11,支持
此生无悔入中华q,别笑，特斯拉撞了也打不开,0,2025-10-16 18:37:48,反对
北临秆,买小米，酒驾，用户画像对上了,0,2025-10-16 00:09:13,支持
风吹草劲,最主要且最致命的电池自燃你不喷？,0,2025-10-17 13:27:57,反对
ma45900,大手ota,6,2025-10-15 20:04:47,中立
对A要不起00,正常人谁酒驾啊,0,2025-10-16 21:42:53,支持
八尾妖姫,生命 抵不过资本的数据 舆情 形象 诶利益 还是人吃人的呀[大哭],0,2025-10-19 22:46:52,支持
咕嘻嘻嘻,。感觉还不如像禁摩一样，高性能的车禁止进入市区。你追求你的信仰就滚去郊区去赛道，出入市就叫个拖车,0,2025-10-19 15:03:08,支持
riddikuluswen,叽叽喳喳的能好好讲话不…,0,2025-10-16 16:43:18,中立
ToddMark,小米公关看好了，接下来你们可以说，车因为酒驾早就把车门撞死l,0,2025-10-16 18:02:20,支持
言笑晏赝,人死了车贷还得继续还吗，要是人死了家属得继续还贷换来一辆报废的破车那真是祸害遗千年了,0,2025-10-16 11:02:42,支持
追风中年yyy,[doge][doge]敢说车有问题，等着被冲吧,0,2025-10-16 12:30:23,支持
清蒸豆皮,汽车一个夕阳行业 还拼的你死我活 看看人腾讯笑而不语,0,2025-10-16 17:28:19,支持
姬梅雪音,话说追求速度有啥用？就国内车和人那么多，你车速度再快能跑那么快吗？没法跑那么快还硬提速不出事才怪了。关键是有厂商敢这么宣传，还真有人去信[辣眼睛],0,2025-10-16 08:15:29,支持
孙行者汉末闹黄巾,带上米，评论区就炸。,1,2025-10-16 16:41:04,支持
太阳用品,这等于你的孩子都还没出亲子鉴定报告就说是隔壁老王，你孩子不冤枉吗[吃瓜],0,2025-10-16 10:06:20,中立
庙小妖风大t,当场死亡不一定，一定的当场火化,0,2025-10-16 11:41:38,反对
chanblade,5分钟火化，这国标[doge],0,2025-10-15 20:21:14,反对
菜黄兔,人有问题车有问题[笑哭],0,2025-10-16 02:28:26,支持
大表哥氟利昂,200公里不是瞬间刹停吗，怎么会出事故呢,0,2025-10-17 09:23:41,中立
寻春续昼,很多人根本没有思考能力，被别有用心的人一带就人云亦云做了免费水军，实际上结果很明显的，只不过很多人一是带着目的发言，二是没有思考能力。成都这量车后窗已经开了，说明小电池已经坚持工作到把车窗开了，无论有没有车，只要坐过车，都知道车窗降下来需要多久，而车门锁开启就哒的一瞬间，这么长的工作时间不可能车锁没打开，其次，后车窗降了说明已经识别到事故，前窗却没同步降下，说明前门绝对被高速撞击干扰到了，所谓的［目测没有明显变形］根本就是个笑话，目测有用的话要ct干嘛？最后，小米内部是有机械门把手的，如果是因为［断电开不了门］，那么在消防员到达后完全可以从［内机械门把手］开门，为何选择了破拆？因为门变形打不开,5,2025-10-17 15:34:18,支持
秋風辞c,特斯拉 比亚迪再到华为小米 反正谁有流量就放大谁，前两天酒驾死8个咋没人看 因为他的车没流量 哈哈哈[OK],0,2025-10-17 02:29:54,支持
无缺丨,确定吗？酒驾？还有爆料的是这个车吗？或者又是一种抹黑车主的公关？,0,2025-10-16 07:59:47,支持
嘎嘎嘎哈zxc,200公里可以瞬间刹停的啊,0,2025-10-17 21:30:07,支持
草履虫卡斯兰娜,瞬间刹停是我们产品的设计目标,0,2025-10-16 11:13:26,支持
酱三袋,他是酒驾，他可以被拉出来后枪毙，但是不能被一扇门关住烧死！,0,2025-10-15 20:16:53,支持
痛击低智傻X,虚假宣传贴地飞行，虚假宣传加一点油行驶1400公里,0,2025-10-18 12:31:42,反对
喵大人团团,不是有钱人都这么会玩吗？不是哥们儿这么有钱还要这么瞎搞图什么啊，想赛车去赛道啊，这么有钱唉真可惜了,0,2025-10-18 11:32:13,支持
走完长路跨越时间,小米这车真不行，车门都打不开，安全气囊也不弹。,0,2025-10-17 13:25:08,反对
峨眉峯,尸检报告出来什么都知道了,0,2025-10-15 20:08:31,中立
星月妙,地盘没有钢板，地盘又地，电车摩擦起火，又是里三元的电池，烧起来温度特别高，坐在电池上开车，底盘一擦，直接火化,0,2025-10-17 14:09:17,反对
事本常态阿,200km/h瞬间刹停呢，救一下啊,0,2025-10-16 11:04:43,反对
亦善若水,照这个速度开啥车撞车能不死呢？装甲车吗？,0,2025-10-17 14:41:32,反对
背后有神助,状态不好停下来休息一会都行，千万别硬撑，这样很容易出事，喝了酒更是别开车，真的是找死[笑哭],0,2025-10-18 09:38:48,支持
樱花让蓝雨,现在电车的车门设计的都真畜牲啊，现在打到好多网约车都不会开门，等到出事故了直接等死,0,2025-10-16 12:02:04,中立
彡獭祭鱼ミ,up你能不能别喊了……,0,2025-10-17 16:12:01,中立
dofunfood,半夜2点半508人在看。小米和雷军很多视频看了很气愤，号称自己很重视安全，但是宣传的都是为安全减配所谓的美化，恶心至极！一生不敢买小米和坐小米[生气_金箍],0,2025-10-16 02:32:43,支持
唐落晨,200公里可以直接刹停，多牛逼[喜极而泣][喜极而泣][喜极而泣],0,2025-10-16 03:04:32,中立
金豆大粉丝,目前国标5分钟外允许烧 明年国标2小时外允许烧 所以说现在买电车的人 怎么说呢？呵呵！,0,2025-10-16 07:03:13,反对
眼下皆星辰,骨灰级米粉,0,2025-10-16 11:53:52,中立
湘零烟雨,累总：200KM刹停,0,2025-10-16 03:34:38,支持
寻觅静痕,酒驾就该死。他不死死的可能就是别人了。,0,2025-10-17 20:39:44,中立
立夏立夏立w,车这玩意，你这人有问题，多牛的车给你开都一样出事。你要人老实，这车很多地方确实不成熟，但也都是小毛病，带不走你的命。但你这人不老实，车又毛病多，啧啧。,0,2025-10-15 22:32:32,支持
不记得-了,我现在就先不管这个车到底咋样，就这种超速这么多的要是给救回来，这次只是自己受伤，那下次呢，就这种人救回来要是再超速把别人撞死了呢，喝酒开车还开这么快，说一句该死也不为过,0,2025-10-16 13:09:31,支持
wuyoutianxia,小黑子，明显是车主饮酒过度，酒精燃烧烧了车子，坑死我米了,0,2025-10-19 15:30:46,反对
不过是场意难平,这次事故炸出来多少没常识的人，还问查出酒驾的。你怎么不问问考古学家怎么确定化石是时候的呢[吃瓜],0,2025-10-17 14:20:21,支持
山海来自人间,移动棺材[doge_金箍]自带火化功能[滑稽],0,2025-10-17 15:10:39,反对
见牛寻牛,还真指望这帮子企业家把人当人啊，不说汽车，单说饮食，用真材实料，少放点添加，都算是圣人了,0,2025-10-18 10:46:54,反对
梯云纵生太极被剑飞,营销半隐藏式门把手的时候宣称比隐藏式安全，结果人隐藏式门把手各个都有机械结构，你半隐藏式门把手反倒只整了俩电子微动开关[尴尬][尴尬]，这就是小米啊,0,2025-10-17 02:52:50,反对
bgujknf,甩锅车主超速的，那为什么160时速撞击安全气囊不弹开呢？为什么这垃圾车处处埋雷呢,0,2025-10-16 11:02:25,反对
隐秀指瑕,[笑哭]虽然讲得可以，但是每次开场都那个一惊一乍的语气让我很不舒服,0,2025-10-18 00:37:42,中立
34357877709_bili,人没啥问题 别胡扯了,0,2025-10-17 19:56:13,支持
给我一只驹,烧了还查个鬼,0,2025-10-16 07:56:39,反对
RTX3090战略核显卡,跟空中浩劫一样，各种buff叠起来导致的事故，不是说驾驶员喝酒了就一定只有驾驶员有问题，有些人拿酒驾就把其他的因素故意忽略了，非蠢既坏,0,2025-10-16 13:13:23,支持
痛打血统论,无齿公司，草菅人命的公司。 我瞎了眼了，手机先用米6，现在用的米13ultra。 两次打不开门，共造成4亖，这不是草菅人命什么是?,0,2025-10-17 02:07:24,支持
48822813666_bili,对于国内新能源品牌来说，死几个人算什么呢？宣传的五花八门，各种乱七八糟的功能，又是开车能K歌了，又是开着车主驾能看电影了,0,2025-10-17 18:31:05,支持
溯星夜没,最幽默的是，当初一堆人吹小米的半隐藏式门把手是机械结构，比别家的隐藏式门把手要好，小米自己也下场吹多好多好。结果里面居然就是两个微动按钮[藏狐]有就有，没有就没有，假装自己有其实没有是真的恶心,0,2025-10-16 16:13:52,支持
若我是猫,老弟，人血馒头不是你这么吃的，标题说深度分析，然后就放了几个网上视频和交警的通报，然后开始煽情，开始大喊大叫，开始强行表现求生欲，搞出一种受迫害的样子,0,2025-10-16 20:10:33,支持
小龙不系小龍,就前边那几句话，脱粉拉黑了，酒驾和门打不开是两码事！,0,2025-10-18 23:10:15,反对
OAO丶OAO,好端端的机械机构车门不做，近几年新能源全搞些什么电动门，真的无语了[笑哭],0,2025-10-18 18:39:53,反对
不能叫及格图书,这up说话和打了鸡血似的,0,2025-10-16 09:10:13,反对
温柔耿鬼,给蹭流量点赞,0,2025-10-17 01:24:25,中立
喵喵拳打你噢,都已经是首富了还在把赚钱当第一目标，完全没有一点企业家的当担，究竟是个人思想格局太小还是企业文化格局太小？天天都在想着蹭风口赚快钱[喜极而泣],0,2025-10-17 14:42:25,支持
狗不理迟石,小米速度乱搞快，操控esp又差容易失速撞，然后撞了之后门开不了，还自燃,0,2025-10-18 09:22:25,支持
妮玛扎拉,全程只提速度不提车架没有严重变形的情况下打不开门[doge]你是想洗地吗？,0,2025-10-16 18:20:27,反对
睡不醒的困困包,就现在的车那个转向灯，一个比一个小，还安全第一呢,0,2025-10-17 17:04:23,支持
狗子泉,喝车不能开酒，发生车祸，喝进肚里的酒还助燃，烧的更旺了。,0,2025-10-19 12:30:13,支持
寒蝉的沉默之息,为什么非要喝酒开车呢，是觉得自己的神经不会受酒精影响吗？还是说开得起这么贵的车，却叫不起代驾？还是说自己的命别人的命都不值钱？还是说酒驾被查了被拘了也能无所畏惧？特别讨厌酒驾的，在我看来就是想自杀然后随机拉一个垫背的,0,2025-10-16 12:14:36,支持
磊哥echo,就不能好好说话吗？非要用这种直播带货的口吻在说话,0,2025-10-17 23:59:23,支持
耿晦之,之前三月份还是二月份吹小米的时候你可不是这个态度[喜极而泣],0,2025-10-17 09:42:16,支持
宸崇,大部分都是人问题（不管油车电车）,5,2025-10-16 08:30:05,支持
红龙图腾,又来了，混淆视听是吧，救人的那几个兄弟说了，他们砸车的时候，人活着！,0,2025-10-18 16:17:31,支持
nannyuki,哪有什么绝对的黑白，人和车都有问题（人酒驾飙车，车开不了门）现在人都是二极管吗？[吃瓜][吃瓜],0,2025-10-17 17:17:43,支持
苍天rao过谁,现场车辆外形肉眼都很难看出变形，真有米粉相信速度150，200？去看看120车辆撞击后的照片吧[呆],0,2025-10-16 13:38:37,支持
bili_79975789725,不能好好说话吗？,0,2025-10-17 21:57:52,中立
嗨豹丶jpg,忘了在哪看到这样的观点：喝两杯马尿就能让车门打不开了？,0,2025-10-18 16:51:42,支持
专动资本的蛋糕,天灾死了多少人，你怪过天，怪过地吗[滑稽],0,2025-10-16 10:21:42,反对
黑枕蓝鹟,喝酒开车就是找死,0,2025-10-16 08:38:26,支持
山泉小溪,真搞笑，高密度电池几秒钟把人烧成碳，门又打不开，车子成杀人机器了,0,2025-10-16 12:50:14,反对
willcharlie,这都比警察分析还快啊。不去造车白瞎了人,0,2025-10-16 02:09:58,反对
不冲铁三不改名,说了半天等于啥也没说[笑哭],0,2025-10-17 14:31:12,支持
萌酷霸,好家伙，团建了这是，甚至还有给牢翔洗白的,0,2025-10-18 00:18:43,支持
徐州沛县爱狗协会理事,为发烧而生[妙啊],3,2025-10-16 15:52:19,支持
及自己哦,雷总：轮毂是最难做的,1,2025-10-16 15:06:36,支持
Arucard9999,2025年了还有人在扣涉嫌这个字眼？ 你在众目睽睽之下当街杀人，在作出判决前也依然事嫌疑犯。,2,2025-10-15 20:33:28,中立
不爱起床のArrebol,两百公里的速度碰撞下人当场必死，哪怕是F1都很难平安无事，这个速度下车子没有变成饼已经很说明含金量了，至少没有见过两百多公里碰撞下车子完整度比小米还好的。,1,2025-10-17 01:55:14,支持
倚树赏云,[鼓掌][鼓掌]每次小米出事就是车媒体人的狂欢。对比一下播放量就知道了，【无法紧急打开车门，三人烧死在特斯拉车内】 https://www.bilibili.com/video/BV17zWMzwE63/?share_source=copy_web&amp;vd_source=5138d9fc1f141c149e8c7b00a24becb8,0,2025-10-19 23:34:53,支持
周游列国的儒学家孔丘,200km/h很快吗？军儿说我们可以瞬间刹停的。[OK],1,2025-10-17 03:48:17,支持
Big_灰灰,小米我就感觉还在用造手机的思维去造汽车，重点放在外观个性，功能花哨，而非传统车企注重的安全实用，功能稳定，买小米的车主也肯定会有很大一部分是按照买手机的思维去买这车的[微笑][微笑],1,2025-10-16 13:09:22,支持
刘咕噜犊子,气泡音➡炸弹💥 ➡低音细语➡上升➡炸弹💥 ➡低音 ➡爆爆爆💥💥💥 ➡下降 ➡再下降 ➡悄悄话 ➡狂轰滥炸💥💥💥💥💥💥💥,1,2025-10-16 15:17:27,中立
挚狐,开车不喝酒，喝酒不开车🙏🏻安全第一,1,2025-10-17 14:40:09,反对
应未远,最后一期了 合影留恋,3,2025-10-16 10:49:28,中立
我是个爱国的人,顶级跑车首先是碳纤维车身，其次是开得起的人都惜命，最后人家再不济，包不了私人公路，还玩不起专业赛车场地吗？而且人家造车，虽然溢价，虽然赚黑心钱，但是人家在保护这些有钱人公子哥的命这方面可不敢含糊，一点不敢疏忽。,0,2025-10-18 00:00:11,反对
光枫游目,不理解为啥电动车的车门也要搞成电动的，车门而已相比机械式又能省多少力呢？,1,2025-10-15 20:40:53,反对
隐姓埋名左,@小米品牌安全 @小米公司 有人质疑汽车最重要的不是好看[墨镜],0,2025-10-17 10:22:28,支持
碗碗都是红烧肉,物理开关最重要的是如何让别人一眼就看出来那是个物理开关，现在很多物理开关都伪装的跟个车门装饰一样，自己知道，但第一次见这个车的人不知道，不知道这怎么施救，国标还应该规定一个，车门车内物理开关必须在窗户下方几厘米的位置，可以在外部破窗后，胳膊伸进去手能直接够得到，并且还能看出是个明显的物理开关,1,2025-10-17 07:01:15,支持
JerichoZ,是不是车主当时用了辅驾，自己虽然喝酒了，但是靠辅驾没问题，结果出事了,0,2025-10-20 15:48:14,支持
喝到没味的茶,新时代鬼火[笑哭],0,2025-10-29 01:47:59,中立
1997年的春天捞,三元高端论是谁提出来的,3,2025-10-15 20:08:16,支持
Rtas_Vadumee,这几个救人的小伙真是好人啊,1,2025-10-17 18:38:43,支持
HARRYHARRY123456,微动开关 [星星眼],0,2025-10-21 23:56:29,反对
喃娘宗宗主萧楚楠,刚买车的时候就整个割安全带的破窗器，开车从不超过130，困了绝对不敢开车，我太怂了，还想活[呲牙],0,2025-10-25 10:43:55,支持
天空的蚕,建议上车前增加酒驾检测，主驾驶人脸识别吹一下，不酒驾才能启动。酒驾启动后，车不能行驶，并自动给交警部门报警。,2,2025-10-15 21:05:07,支持
虎哥还我徒弟,我觉得开关需要统一,0,2025-10-21 19:04:03,反对
Mr唐吉诃德,小米烧成米饭了[藏狐],1,2025-10-16 00:18:19,支持
At秋-,小米还有售后，把司法程序都省了，这不是挺好的,0,2025-10-29 03:59:40,支持
北乡子,要是正好有公交车路过就好了 上面有破窗器 灭火器。,2,2025-10-17 17:18:11,支持
天府仙人,华为又不造车，提华为干什么？,0,2025-10-23 13:14:42,反对
节能灯,不管这事故是谁的问题大伙还是得记住再开再安全的车都不要放松警惕，安全驾驶不仅仅是在对自己负责也是对你的家人和社会负责,1,2025-10-16 15:03:32,支持
一位-初学者,不过是前两年刹车失灵的风，现在吹到小米了，以后也会轮到别的品牌，就是个互联网时代的流量反噬，但大部分人都深陷其中，我当初相信特斯拉，现在也相信小米，特斯拉法务部成立时的个性签名每个人都适用：“独立思考，明辨是非”,0,2025-10-19 01:12:54,支持
弹幕许愿的啥13,666光速OTA,3,2025-10-15 20:08:18,反对
青楼一把剑,这我就要说了，我的思域没有自动落锁，好像是本田全系列都没有这个功能，就是那种开150，你只要不手动锁车，你立刻能拉开车门的那种[笑哭],32,2025-10-15 20:53:08,中立
干死老梁的搬运者,现在流量就靠吼吗？,0,2025-10-23 11:02:00,中立
今夕泪朦胧,这不挺好吗，这种酒后开车还飙车的出生，我小米汽车直接给你清除啦[doge_金箍]，省的之后祸害别人,0,2025-11-06 18:01:29,支持
旿語-,强制普及机械外漏门把手，势在必行,0,2025-10-22 18:26:21,反对
就在_明天,这回过135了，AEB还是没有触发。,1,2025-10-17 18:09:29,中立
某日常的珈百璃,视频配音能不能别一惊一乍、时急时缓，音量忽大忽小，听着太难受，太造作了,10,2025-10-16 11:32:57,反对
sasukiki,[笑哭]我觉得小米这种半隐藏的外观挺好的，但能不能做成机械的啊直接往上提不好吗，按道理这样也不加风阻啊,14,2025-10-16 00:28:27,支持
pclitchi,五花八门，没有应急通用性，可悲可叹,0,2025-10-20 22:43:37,中立
亿点热的夏天,技术不成熟都拿出来卖。,0,2025-10-22 18:11:15,反对
ArthurArvin,所以，造车卖车不仅仅是赚钱，还是在草菅人命吗？,0,2025-10-22 09:42:00,中立
cgyujjgf,虽然但是，某界崴脚，不服跑个圈，我们被友商黑惨了,0,2025-10-18 13:30:13,中立
大道之橘,酒驾保险都不赔，要怨只能怨他自己。,0,2025-11-07 22:07:30,反对
澜楣不是蓝莓,我真服了，一群不知道受没受过教育的人，居然连“涉嫌”两个字也扣字眼，一点常识都没有啊？你在哪个警情通报上看到的不是“涉嫌”？公安机关没有定罪判刑的权力，只要法院没判就都是涉嫌你知不知道啊？,0,2025-10-31 07:06:27,支持
悠穻,小米的流量真好吃૮₍ᵔ⤙ᵔ ₎ა,0,2025-11-01 01:59:27,支持
我菜但不徐坤的大冰,我说一句 你开车喝酒死了我还得鼓个掌 别伤害无辜的人就行,0,2025-10-21 09:16:10,支持
天鹅座的黑洞X-1,"说实话,什么车能200公里保人命？只不过在讨论暴露的问题",14,2025-10-16 01:08:32,支持
saberJiII,看个视频真要吵死了，能不能小点声啊[大哭],0,2025-11-02 03:36:50,反对
CIKNtt,求问一下，小米跟其他品牌用的都是宁德时代三元锂，他们的电池安全跟寿命是一样还是不一样[初音未来_问号],4,2025-10-16 00:59:00,支持
沧普昆云君,是我忽悠东雪莲和孙狗用《三 国 杀》让三体人控制质子来黑小米的,0,2025-10-20 08:31:48,支持
jxbc123,你怎么不去质疑京东秒送啊，还有很多很多事例。天天刷到在这搞小米，都是一样的内容一样的故事天天轰炸，烦不烦人啊。你们对小米有意见就去质检工商，还有消协啊。,0,2025-11-01 15:10:53,支持
千禧夢,人有问题，车也有问题,0,2025-10-25 15:16:51,支持
mh500101,警钟？敲多少次了你看他动一下不？警钟敲多了雷总还以为在过圣诞节呢,0,2025-11-03 10:18:23,反对
菊下之丞,酒驾！！弹幕发绿化带战神有啥意思？？这纯黑么不是！,0,2025-10-31 10:24:21,支持
冥冥中乐匆匆,想到以前刷到的视频，一个大爷在吆喝，谁tm买小米儿,0,2025-11-02 01:03:42,支持
超合金Frank,有些人脑子呢？死后烧成灰不好测酒，那他生前去了哪里，路线是什么，一调查不是一清二楚？说涉嫌就是法院程序没走完，他死了又不能第一时间签字而已。[热词系列_啊?],0,2025-10-26 12:11:59,支持
龙吉诃德,买电车就是好，出事带火化的,0,2025-11-02 21:19:25,支持
二哈主人大哈,开车喝酒不是找死，是害人害己！,0,2025-10-23 12:31:14,支持
彬彬有礼1998,一句话：“要开车就别喝酒，喝了酒就别开车！”出事情第一时间先追究驾驶员然后才追究车企的责任。之前安徽那个车祸也是，这些人是真的对自己的生命不负责任，开了车就要对自己生命负责，还开车的时候睡大觉，你想睡你不能开服务区里去睡，睡够了去洗把脸再开吗？一个开车座椅放B柱后面睡大觉，一个开车前喝酒，三令五申那么久了怎么还劝不住一些该死鬼？,2,2025-10-16 14:30:01,支持
崔达则,@雷军,0,2025-10-17 06:25:59,中立
一下雷阵雨,@小米公司 @小米品牌安全 @小米汽车 @雷军 有人黑小米,0,2025-10-16 14:16:14,支持
丨断魄丨,@雷军 @小米品牌安全 @小米公司 进来学习一下,0,2025-10-16 12:56:27,中立
-ALLIN_,看到评论区这么多喷小米的我就放心了，说明小米这个车是真做成功了，小米华为这些品牌已经取代了特斯拉在圈里的生态位，两年前电车天天上热搜的都是特斯拉刹车失灵啥的[笑哭],0,2025-10-16 02:21:54,支持
盛了个宇,粉丝表示这期有点太春秋笔法了[笑哭]太不客观,0,2025-10-24 20:07:16,反对
INFJR,酒驾200公里锁门烧烤这是好事儿啊,0,2025-10-20 08:12:07,支持
橘子の白丝,车门都打不开怎么知道是酒驾,0,2025-11-03 02:40:04,支持
讨厌的蜥蜴,[嗑瓜子]这up不是那个外号敲个der,0,2025-10-20 23:21:54,中立
地批最严厉的浮琴,米这下应该要被强制召回了吧,10,2025-10-15 20:30:28,支持
路飞驶向新世代,门把手最好还是保留机械的，真的出事故，还好救援。,1,2025-10-16 11:21:39,反对
雪谷狄云,为发烧而生,0,2025-10-21 01:43:10,支持
迷雾中的一些灯光,。你就是纯铜墙铁壁速度上去撞了变形也打不开啊,0,2025-10-29 14:19:11,反对
绘心米卡,200到0瞬间刹停，你说是车的问题吗[doge],0,2025-10-20 15:48:15,支持
无言以对的哑巴,这位真成了小米的发烧级用户,0,2025-11-02 00:22:17,支持
天空上飘,装死了[doge],0,2025-10-20 23:36:24,中立
MC沙雕张大炮,“诶，不是说两百公里瞬间刹停吗”驾驶员酒驾没踩刹车它怎么停?弹幕为什么都在黑小米,0,2025-11-06 12:08:13,支持
小胡小胡hu,这个up主说话好有激情，好羡慕,0,2025-10-20 19:43:08,支持
夜雨落桥西,我想知道正常的车能不能打开,9,2025-10-16 17:53:09,支持
生无恐,你不敢说的。会下架，瞎比比,0,2025-10-20 00:31:53,支持
bili_60576767508,那个被小米送进去的up有点画蛇添足，要是不去弄什么电瓶，直接摆事实（撞车后，门打不开），那就什么事都没有了，还能有一波流量。,0,2025-10-21 00:12:54,支持
